iter	MAE
252	8.600104
253	8.596131045
254	8.590923782
255	8.582875798
256	8.577081922
257	8.570139206
258	8.564364315
259	8.560061069
260	8.553683324
261	8.54848731
262	8.543183053
263	8.540489763
264	8.536546832
265	8.531391989
266	8.525158039
267	8.52147125
268	8.516672035
269	8.51220783
270	8.510602268
271	8.508266071
272	8.504290579
273	8.501406771
274	8.493872848
275	8.490961072
276	8.488144422
277	8.481222985
278	8.476302145
279	8.470325049
280	8.461937084
281	8.45521624
282	8.452517605
283	8.449414453
284	8.446024994
285	8.44111156
286	8.438094413
287	8.433422896
288	8.42919441
289	8.424547887
290	8.420661083
291	8.415384301
292	8.412491764
293	8.409596554
294	8.400873271
295	8.396349039
296	8.39383855
297	8.388891982
298	8.379987253
299	8.375724502
300	8.372870834
301	8.365484324
302	8.361551985
303	8.358661137
304	8.35620342
305	8.351000086
306	8.347012343
307	8.340938443
308	8.337092791
309	8.332999422
310	8.331250558
311	8.324822137
312	8.32112275
313	8.314615324
314	8.310249637
315	8.307642057
316	8.306250408
317	8.302767063
318	8.300443769
319	8.296617029
320	8.290599859
321	8.288145466
322	8.282948616
323	8.280585048
324	8.274592141
325	8.271911155
326	8.269187907
327	8.265605913
328	8.262536154
329	8.254101551
330	8.249376943
331	8.245205062
332	8.243901575
333	8.23890197
334	8.235306835
335	8.232796451
336	8.231149297
337	8.228386053
338	8.225164037
339	8.221126838
340	8.217466672
341	8.214712913
342	8.209528775
343	8.20868938
344	8.205028245
345	8.20237631
346	8.201501827
347	8.198888733
348	8.196777606
349	8.190161245
350	8.187600771
351	8.18517112
352	8.183055817
353	8.177812037
354	8.170114587
355	8.168364466
356	8.162080241
357	8.159870002
358	8.153750328
359	8.150508863
360	8.145792266
361	8.142038545
362	8.139481943
363	8.136978024
364	8.134094438
365	8.131592396
366	8.126799346
367	8.124094206
368	8.12120652
369	8.117892758
370	8.112140967
371	8.107712565
372	8.104526428
373	8.101311382
374	8.096824854
375	8.093773846
376	8.087834168
377	8.084313868
378	8.082559799
379	8.078815343
380	8.075262974
381	8.071083197
382	8.067085841
383	8.06367983
384	8.05839887
385	8.056422588
386	8.054441991
387	8.051756062
388	8.047790683
389	8.045227945
390	8.041157208
391	8.038312336
392	8.035133218
393	8.032508987
394	8.029198353
395	8.025070255
396	8.021970632
397	8.020032338
398	8.015832305
399	8.01362361
400	8.010489294
401	8.008348804
402	8.006415611
403	8.002306282
404	7.999247695
405	7.99650359
406	7.992837657
407	7.990443231
408	7.98567921
409	7.981392612
410	7.976138331
411	7.97278393
412	7.970525594
413	7.966419571
414	7.963878834
415	7.962163109
416	7.958519122
417	7.954713268
418	7.950863104
419	7.947923394
420	7.945436287
421	7.941816805
422	7.939661471
423	7.936139664
424	7.93338911
425	7.929653362
426	7.925791998
427	7.922712774
428	7.92013616
429	7.915743141
430	7.913441196
431	7.911544179
432	7.910015325
433	7.907523929
434	7.904626793
435	7.902121844
436	7.899425013
437	7.895539772
438	7.893679662
439	7.890995831
440	7.887310696
441	7.884359439
442	7.882409826
443	7.879657255
444	7.877898198
445	7.87477747
446	7.873538107
447	7.869867333
448	7.867270894
449	7.864233371
450	7.857976849
451	7.855733605
452	7.852714926
453	7.850949999
454	7.847866654
455	7.845106443
456	7.84343694
457	7.841853931
458	7.839585145
459	7.83680848
460	7.833533513
461	7.831429543
462	7.826740363
463	7.82316361
464	7.82020142
465	7.816841619
466	7.814116396
467	7.80757243
468	7.804891699
469	7.801229816
470	7.798659621
471	7.796324206
472	7.791919486
473	7.790152065
474	7.786946389
475	7.784170564
476	7.782788377
477	7.779839309
478	7.777375838
479	7.775393149
480	7.773831052
481	7.772491851
482	7.770900169
483	7.768903956
484	7.766439797
485	7.764261671
486	7.761734924
487	7.758325684
488	7.755315524
489	7.753252029
490	7.750209702
491	7.747681761
492	7.745956673
493	7.742875179
494	7.740489507
495	7.737750983
496	7.73173836
497	7.72769093
498	7.725228142
499	7.722833224
500	7.719638785
501	7.718032678
502	7.716118853
503	7.713103119
504	7.710570157
505	7.708905375
506	7.705552605
507	7.699300036
508	7.696760261
509	7.692983074
510	7.690907112
511	7.685819663
512	7.684305858
513	7.681117814
514	7.679325708
515	7.677056635
516	7.672680556
517	7.67126825
