iter	MAE
0	13.12458302
1	13.05087901
2	12.97522529
3	12.902993
4	12.83405585
5	12.76389364
6	12.69398235
7	12.6431814
8	12.58230957
9	12.51643135
10	12.4575917
11	12.39201852
12	12.32709876
13	12.2730009
14	12.21670307
15	12.15727293
16	12.09363264
17	12.04605799
18	11.98983623
19	11.93468109
20	11.88393863
21	11.83667433
22	11.79017192
23	11.7383639
24	11.69913712
25	11.65185232
26	11.60156459
27	11.56110994
28	11.52034036
29	11.47409573
30	11.43438633
31	11.39631409
32	11.3586415
33	11.32307308
34	11.27958378
35	11.23333716
36	11.19747767
37	11.16390273
38	11.13223939
39	11.09451508
40	11.05797851
41	11.02532741
42	10.99908521
43	10.97277137
44	10.93894606
45	10.91101556
46	10.87810407
47	10.85415668
48	10.82504504
49	10.80228306
50	10.78164174
51	10.7557219
52	10.73346718
53	10.71783659
54	10.70128049
55	10.66957057
56	10.63888157
57	10.61134841
58	10.586728
59	10.57023326
60	10.54670749
61	10.52594436
62	10.50620487
63	10.48315935
64	10.46743251
65	10.4449869
66	10.42380047
67	10.40985995
68	10.39662816
69	10.37930085
70	10.3654464
71	10.34636923
72	10.32693134
73	10.30752115
74	10.2880015
75	10.27703571
76	10.25964551
77	10.24726692
78	10.22727586
79	10.20856514
80	10.19307902
81	10.17991683
82	10.16197573
83	10.14469586
84	10.13320146
85	10.11641549
86	10.09936247
87	10.08682769
88	10.06743448
89	10.05165991
90	10.03466901
91	10.02052047
92	10.00653333
93	9.995730702
94	9.979991997
95	9.960466544
96	9.943718579
97	9.929380615
98	9.921168142
99	9.909829741
100	9.897265472
101	9.876122147
102	9.85900456
103	9.842117607
104	9.82918905
105	9.814070899
106	9.79935904
107	9.786541594
108	9.77583801
109	9.767038768
110	9.750177875
111	9.738942053
112	9.720203519
113	9.706881142
114	9.695738085
115	9.684642928
116	9.6709921
117	9.657012877
118	9.644903224
119	9.637563686
120	9.629365416
121	9.613838412
122	9.605471048
123	9.592954205
124	9.581117806
125	9.566648697
126	9.556288533
127	9.544797124
128	9.53885668
129	9.530563958
130	9.519760212
131	9.51148447
132	9.500735426
133	9.491972064
134	9.484571685
135	9.472263102
136	9.46139868
137	9.454992767
138	9.444602176
139	9.432562783
140	9.423537931
141	9.412878386
142	9.401079211
143	9.393802972
144	9.382637057
145	9.37252764
146	9.364547571
147	9.353315546
148	9.345983026
149	9.333130648
150	9.322749625
151	9.308774918
152	9.304484995
153	9.291110372
154	9.283318421
155	9.277533992
156	9.264989256
157	9.254393469
158	9.241924376
159	9.236550012
160	9.229389753
161	9.22398738
162	9.206519793
163	9.201902609
164	9.194129404
165	9.182208716
166	9.175049128
167	9.168348256
168	9.161039739
169	9.152418996
170	9.141569849
171	9.132640551
172	9.124661364
173	9.116600113
174	9.110362327
175	9.103426957
176	9.093334985
177	9.08794389
178	9.082140982
179	9.072061335
180	9.062673811
181	9.055333946
182	9.051270821
183	9.041649529
184	9.02929201
185	9.019095556
186	9.008236087
187	9.003061986
188	8.997924737
189	8.990593371
190	8.985718585
191	8.976821745
192	8.969504982
193	8.961940764
194	8.952568061
195	8.945063512
196	8.937855876
197	8.931017847
198	8.919723484
199	8.913003681
200	8.910638758
201	8.901358117
202	8.895652272
203	8.891066573
204	8.880843238
205	8.873921314
206	8.869548875
207	8.86260898
208	8.856169781
209	8.851436507
210	8.846827366
211	8.838321971
212	8.835217198
213	8.831614633
214	8.824974631
215	8.821463093
216	8.81845088
217	8.810102766
218	8.804224845
219	8.795800438
220	8.788801311
221	8.781508461
222	8.777760545
223	8.770760526
224	8.764621497
225	8.759334356
226	8.755616164
227	8.742643279
228	8.739083704
229	8.730817407
230	8.725776378
231	8.716694358
232	8.71064405
233	8.704797835
234	8.701711469
235	8.694698749
236	8.688188052
237	8.682557448
238	8.679159967
239	8.67229136
240	8.668022561
241	8.661526002
242	8.657746338
243	8.652186767
244	8.645811857
245	8.641414527
246	8.63928806
247	8.633588976
248	8.62412038
249	8.614390196
250	8.610805376
251	8.60566907
