Horizon,Month,Month_Name,MAE,R2,Skill,Coverage
6h,1,Jan,1.77,0.969,0.484,94.9
6h,2,Feb,2.07,0.944,0.514,93.6
6h,3,Mar,2.5,0.873,0.423,94.6
6h,4,Apr,2.97,0.774,0.601,96.2
6h,5,May,5.93,0.769,0.711,88.6
6h,6,Jun,5.23,0.8,0.735,94.2
6h,7,Jul,4.45,0.868,0.748,96.0
6h,8,Aug,5.26,0.798,0.729,95.0
6h,9,Sep,5.28,0.691,0.631,92.4
6h,10,Oct,2.94,0.871,0.546,91.9
6h,11,Nov,2.34,0.979,0.448,94.4
6h,12,Dec,2.43,0.983,0.499,97.2
12h,1,Jan,3.98,0.851,0.341,96.0
12h,2,Feb,4.16,0.773,0.421,95.7
12h,3,Mar,4.08,0.695,0.369,95.0
12h,4,Apr,4.26,0.6,0.545,98.6
12h,5,May,8.61,0.584,0.68,86.6
12h,6,Jun,6.73,0.673,0.73,94.0
12h,7,Jul,6.5,0.768,0.706,95.7
12h,8,Aug,7.03,0.688,0.715,92.9
12h,9,Sep,7.57,0.545,0.576,93.3
12h,10,Oct,4.84,0.759,0.46,95.4
12h,11,Nov,5.22,0.896,0.301,96.0
12h,12,Dec,6.31,0.879,0.288,97.7
24h,1,Jan,7.41,0.453,0.244,98.1
24h,2,Feb,6.98,0.349,0.352,98.4
24h,3,Mar,5.97,0.341,0.327,98.5
24h,4,Apr,6.08,0.363,0.079,100.0
24h,5,May,9.01,0.575,0.132,97.2
24h,6,Jun,8.74,0.595,0.059,98.2
24h,7,Jul,7.82,0.67,0.216,98.3
24h,8,Aug,8.91,0.608,0.023,98.5
24h,9,Sep,8.74,0.442,0.089,98.3
24h,10,Oct,7.26,0.506,0.22,98.0
24h,11,Nov,9.41,0.701,0.187,96.9
24h,12,Dec,9.9,0.737,0.306,97.7
48h,1,Jan,12.13,-0.27,0.204,98.1
48h,2,Feb,9.81,-0.148,0.259,98.8
48h,3,Mar,7.79,-0.058,0.286,98.5
48h,4,Apr,7.22,0.157,0.089,100.0
48h,5,May,12.01,0.228,0.023,97.0
48h,6,Jun,11.52,0.375,0.031,100.0
48h,7,Jul,13.15,0.119,0.134,97.3
48h,8,Aug,11.73,0.384,0.06,97.6
48h,9,Sep,11.5,-0.099,0.108,97.2
48h,10,Oct,10.17,0.073,0.169,98.9
48h,11,Nov,11.67,0.617,0.075,96.8
48h,12,Dec,14.92,0.425,0.142,96.1
